;cd_instrumento;tp_instrumento;stp_instrumento;dt_medicao;hr_medicao;sit_medicao;valor;tp_coleta;just_n_medicao;numero_OS;cond_adversa;obs;unid_medida_u;unid_medida_y;leitura_m;unid_medida_w;unid_medida_aa;unid_medida_ac;lei_manual_m;leitura;leitua_sensor_u1;cota_z;leitura_sensor_u1;unid_medida;Valor;unid_medida_aec;desv_padrao
0;PICBMV2PZ001B;Piezômetro;Casagrande;2019-02-06;0:28.42;Realizada;12.540.816;Manual;;192184.0;;;m;m;;;;;17.02;;;;;;;;0
1;PICBMV2PZ001B;Piezômetro;Casagrande;2019-03-11;0:30.05;Realizada;12.541.716;Manual;;192188.0;;;m;m;;;;;16.93;;;;;;;;0
2;PICBMV2PZ001B;Piezômetro;Casagrande;2019-04-10;0:31.52;Realizada;12.542.116;Manual;;192185.0;;;m;m;;;;;16.89;;;;;;;;0
3;PICBMV2PZ001B;Piezômetro;Casagrande;2019-04-24;0:30.12;Realizada;12.542.216;Manual;;192180.0;;;m;m;;;;;16.88;;;;;;;;0
4;PICBMV2PZ001B;Piezômetro;Casagrande;2019-05-08;0:35.57;Realizada;12.542.216;Manual;;192178.0;;;m;m;;;;;16.88;;;;;;;;0
5;PICBMV2PZ001B;Piezômetro;Casagrande;2019-05-23;0:30.37;Realizada;12.541.816;Manual;;192175.0;;;m;m;;;;;16.92;;;;;;;;0
6;PICBMV2PZ001B;Piezômetro;Casagrande;2019-06-07;0:29.40;Realizada;12.541.116;Manual;;192173.0;;;m;m;;;;;16.99;;;;;;;;0
7;PICBMV2PZ001B;Piezômetro;Casagrande;2019-06-24;0:32.12;Realizada;12.540.116;Manual;;192171.0;;;m;m;;;;;17.09;;;;;;;;0
8;PICBMV2PZ001B;Piezômetro;Casagrande;2019-07-09;0:32.12;Realizada;12.539.216;Manual;;192035.0;;;m;m;;;;;17.18;;;;;;;;0
9;PICBMV2PZ001B;Piezômetro;Casagrande;2019-07-23;0:28.09;Realizada;12.538.416;Automatizada;;192539.0;;;m;m;;;;;17.26;;;;;;;;0
10;PICBMV2PZ001B;Piezômetro;Casagrande;2019-07-31;0:32.42;Realizada;12.538.116;Manual;;194837.0;;;m;m;;;;;17.29;;;;;;;;0
11;PICBMV2PZ001B;Piezômetro;Casagrande;2019-08-06;0:26.52;Realizada;12.537.716;Automatizada;;194933.0;;;m;m;;;;;17.33;;;;;;;;0
12;PICBMV2PZ001B;Piezômetro;Casagrande;2019-08-22;0:29.42;Realizada;12.537.216;Automatizada;;197091.0;;;m;m;;;;;17.38;;;;;;;;0
13;PICBMV2PZ001B;Piezômetro;Casagrande;2019-09-04;0:26.25;Realizada;12.536.616;Automatizada;;199389.0;;;m;m;;;;;17.44;;;;;;;;0
14;PICBMV2PZ001B;Piezômetro;Casagrande;2019-09-19;0:26.25;Realizada;12.536.016;Automatizada;;201480.0;;;m;m;;;;;17.5;;;;;;;;0
15;PICBMV2PZ001B;Piezômetro;Casagrande;2019-10-03;0:26.44;Realizada;12.535.816;Automatizada;;203893.0;;;m;m;;;;;17.52;;;;;;;;0
16;PICBMV2PZ001B;Piezômetro;Casagrande;2019-10-17;0:29.37;Realizada;12.535.216;Automatizada;;205854.0;;;m;m;;;;;17.58;;;;;;;;0
17;PICBMV2PZ001B;Piezômetro;Casagrande;2019-11-04;0:29.09;Realizada;12.534.716;Automatizada;;208208.0;;;m;m;;;;;17.63;;;;;;;;0
18;PICBMV2PZ001B;Piezômetro;Casagrande;2019-11-19;0:29.15;Realizada;12.534.316;Manual;;210968.0;;;m;m;;;;;17.67;;;;;;;;0
19;PICBMV2PZ001B;Piezômetro;Casagrande;2019-12-04;0:28.50;Realizada;12.534.416;Automatizada;;212394.0;;;m;m;;;;;17.66;;;;;;;;0
20;PICBMV2PZ001B;Piezômetro;Casagrande;2019-12-19;0:27.42;Realizada;12.534.616;Automatizada;;214354.0;;;m;m;;;;;17.64;;;;;;;;0
21;PICBMV2PZ001B;Piezômetro;Casagrande;2020-01-02;0:25.00;Realizada;12.534.616;Automatizada;;216730.0;;;m;m;;;;;17.64;;;;;;;;0
22;PICBMV2PZ001B;Piezômetro;Casagrande;2020-01-16;0:27.24;Realizada;12.534.616;Automatizada;;218708.0;;;m;m;;;;;17.64;;;;;;;;0
23;PICBMV2PZ001B;Piezômetro;Casagrande;2020-02-04;0:28.12;Realizada;12.536.716;Automatizada;;221095.0;;;m;m;;;;;17.43;;;;;;;;0
24;PICBMV2PZ001B;Piezômetro;Casagrande;2020-02-18;0:27.57;Realizada;12.538.216;Manual;;223765.0;;;m;m;;;;;17.28;;;;;;;;0
25;PICBMV2PZ001B;Piezômetro;Casagrande;2020-03-05;0:27.00;Realizada;12.539.316;Automatizada;;225401.0;;;m;m;;;;;17.17;;;;;;;;0
26;PICBMV2PZ001B;Piezômetro;Casagrande;2020-03-18;0:22.22;Realizada;12.539.916;Automatizada;;227308.0;;;m;m;;;;;17.11;;;;;;;;0
27;PICBMV2PZ001B;Piezômetro;Casagrande;2020-04-02;0:32.44;Realizada;12.540.016;Automatizada;;230011.0;;;m;m;;;;;17.1;;;;;;;;0
28;PICBMV2PZ001B;Piezômetro;Casagrande;2020-04-20;0:26.17;Realizada;12.539.616;Automatizada;;231968.0;;;m;m;;;;;17.14;;;;;;;;0
29;PICBMV2PZ001B;Piezômetro;Casagrande;2020-05-07;0:22.10;Realizada;12.539.016;Automatizada;;234621.0;;;m;m;;;;;17.2;;;;;;;;0
30;PICBMV2PZ001B;Piezômetro;Casagrande;2020-05-22;0:23.44;Realizada;12.538.716;Automatizada;;236722.0;;;m;m;;;;;17.23;;;;;;;;0
31;PICBMV2PZ001B;Piezômetro;Casagrande;2020-06-08;0:22.17;Realizada;12.537.716;Automatizada;;239644.0;;;m;m;;;;;17.33;;;;;;;;0
32;PICBMV2PZ001B;Piezômetro;Casagrande;2020-06-22;0:24.22;Realizada;12.537.016;Automatizada;;241750.0;;;m;m;;;;;17.4;;;;;;;;0
33;PICBMV2PZ001B;Piezômetro;Casagrande;2020-07-07;0:28.32;Realizada;12.536.716;Automatizada;;244976.0;;;m;m;;;;;17.43;;;;;;;;0
34;PICBMV2PZ001B;Piezômetro;Casagrande;2020-07-22;0:26.37;Realizada;12.535.816;Automatizada;;247173.0;;;m;m;;;;;17.52;;;;;;;;0
